word,definition,example
further,Promote the growth of.,Foster our children's well-being and education
furthermore,In addition.,"computer chess games are getting cheaper all the time; furthermore, their quality is improving"
furthest,(comparatives of `far') most remote in space or time or order.,had traveled to the farthest frontier
fuss,An excited state of agitation.,he was in a dither
future,The time yet to come.,There is no future in dwelling on the past.
gaiety,A gay feeling.,The decorations added greatly to the gaiety of the room.
gain,A quantity that is added.,there was an addition to property taxes this year
gall,An open sore on the back of a horse caused by ill-fitting or badly adjusted saddle.,Improper cooling and a dull milling blade on titanium can gall the surface.
gallery,Spectators at a golf or tennis match.,a clip-art gallery in a wordprocessor
gallon,United states liquid unit equal to 4 quarts or 3.785 liters.,The pipe burst and gallons of water flooded into the kitchen.
gambling,The act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize).,his gambling cost him a fortune
game,A contest with rules to determine a winner.,you need four people to play this game
gang,An association of criminals.,police tried to break up the gang
gangster,A criminal who is a member of gang.,
gap,A conspicuous disparity or difference as between two figures.,gap between income and outgo
garage,An outbuilding (or part of a building) for housing automobiles.,We garaged the convertible during the monsoon months.
garbage,Food that is discarded (as from a kitchen).,Garbage is collected on Tuesdays; rubbish on Fridays
garden,A plot of ground where plants are cultivated.,a vegetable garden  a flower garden
gardener,Someone who takes care of a garden.,"""Ponder the fact that God has made you a gardener, to root out vice and to plant virtue."" — St. Catherine of Siena"
gardening,The cultivation of plants.,I love to garden — this year I'm going to plant some daffodils.
garlic,Bulbous herb of southern europe widely naturalized; bulb breaks up into separate strong-flavored cloves.,
garment,An article of clothing.,garments of the finest silk
gas,The state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container.,A lot of gas had escaped from the cylinder.
gasp,A short labored intake of breath with the mouth open.,she gave a gasp and fainted
gate,A movable barrier in a fence or wall.,The gate in front of the railroad crossing went up after the train had passed.
gateway,An entrance that can be closed by a gate.,
gather,Sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching.,I've been gathering ideas from the people I work with.
gaudy,(britain) a celebratory reunion feast or entertainment held a college.,
gay,Someone who practices homosexuality; having a sexual attraction to persons of the same sex.,The Gay Science
gaze,A long fixed look.,he fixed his paternal gaze on me
gear,A toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion.,They have geared the hotel mainly at tourists.
gee,A unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated.,"Gee, I didn't know that!"
gender,A grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in indo-european languages it is usually based on sex or animateness.,"The effect of the medication is dependent upon age, gender, and other factors."
gene,(genetics) a segment of dna that is involved in producing a polypeptide chain; it can include regions preceding and following the coding dna as well as introns between the exons; it is considered a unit of heredity.,genes were formerly called factors
